0 I-PLOSS
0 I-PLOSS
万 I-PLOSS
元 I-PLOSS
， O
3 B-CLOSS
人 I-CLOSS
受 I-CLOSS
伤 I-CLOSS
。 O

2 B-DATE
0 I-DATE
2 I-DATE
3 I-DATE
年 I-DATE
1 I-DATE
0 I-DATE
月 I-DATE
2 I-DATE
日 I-DATE
1 B-TIME
4 I-TIME
: I-TIME
3 I-TIME
0 I-TIME
， O
深 B-LORG
圳 I-LORG
捷 I-LORG
通 I-LORG
物 I-LORG
流 I-LORG
公 I-LORG
司 I-LORG
货 O
车 O
侧 O
翻 O
， O
张 B-LPER
某 I-LPER
驾 O
驶 O
超 O
载 O
， O
李 B-PPER
某 I-PPER
受 O
伤 O
， O
王 B-OPER
某 I-OPER
协 O
助 O
救 O
援 O
， O
损 B-PLOSS
失 I-PLOSS
2 I-PLOSS
0 I-PLOSS
万 I-PLOSS
元 I-PLOSS
。 O

2 B-DATE
0 I-DATE
2 I-DATE
3 I-DATE
年 I-DATE
8 I-DATE
月 I-DATE
1 I-DATE
5 I-DATE
日 I-DATE
， O
武 B-LORG
汉 I-LORG
安 I-LORG
泰 I-LORG
医 I-LORG
院 I-LORG
手 O
术 O
中 O
发 O
生 O
感 O
染 O
， O
张 B-LPER
某 I-LPER
未 O
按 O
规 O
操 O
作 O
， O
李 B-PPER
某 I-PPER
感 O
染 O
死 O
亡 O
， O
王 B-OPER
某 I-OPER
协 O
助 O
调 O
查 O
。 O

2 B-DATE
0 I-DATE
2 I-DATE
3 I-DATE
年 I-DATE
1 I-DATE
1 I-DATE
月 I-DATE
5 I-DATE
日 I-DATE
， O
昆 B-LORG
明 I-LORG
蓝 I-LORG
天 I-LORG
化 I-LORG
工 I-LORG
厂 I-LORG
爆 B-TYPE
炸 I-TYPE
， O
张 B-LPER
某 I-LPER
违 O
规 O
操 O
作 O
， O
李 B-PPER
某 I-PPER
烧 O
伤 O
， O
王 B-OPER
某 I-OPER
参 O
与 O
救 O
援 O
， O
损 B-PLOSS
失 I-PLOSS
1 I-PLOSS
0 I-PLOSS
0 I-PLOSS
0 I-PLOSS
万 I-PLOSS
元 I-PLOSS
。 O

2 B-DATE
0 I-DATE
2 I-DATE
3 I-DATE
年 I-DATE
3 I-DATE
月 I-DATE
1 I-DATE
0 I-DATE
日 I-DATE
， O
苏 B-LORG
州 I-LORG
宏 I-LORG
达 I-LORG
机 I-LORG
械 I-LORG
厂 I-LORG
发 O
生 O
机 O
器 O
故 O
障 O
， O
张 B-LPER
某 I-LPER
未 O
按 O
规 O
操 O
作 O
， O
李 B-PPER
某 I-PPER
手 O
臂 O
骨 O
折 O
， O
王 B-OPER
某 I-OPER
协 O
助 O
救 O
援 O
。 O

根 O
据 O
目 O
击 O
者 O
的 O
证 O
言 O
， O
刘 B-OPER
治 I-OPER
安 I-OPER
员 I-OPER
到 O
场 O
后 O
维 O
持 O
秩 O
序 O
并 O
协 O
助 O
疏 O
散 O
人 O
员 O
。 O

在 O
事 O
故 O
发 O
生 O
后 O
， O
李 B-OPER
护 I-OPER
士 I-OPER
紧 O
急 O
赶 O
赴 O
现 O
场 O
并 O
开 O
展 O
急 O
救 O
工 O
作 O
。 O

根 O
据 O
报 O
告 O
， O
王 B-OPER
交 I-OPER
警 I-OPER
迅 O
速 O
赶 O
到 O
事 O
故 O
现 O
场 O
并 O
协 O
助 O
疏 O
散 O
群 O
众 O
。 O

经 O
调 O
查 O
， O
赵 B-OPER
政 I-OPER
府 I-OPER
工 I-OPER
作 I-OPER
人 O
员 O
配 O
合 O
处 O
理 O
事 O
故 O
并 O
为 O
伤 O
员 O
提 O
供 O
帮 O
助 O
。 O

根 O
据 O
通 O
报 O
， O
张 B-OPER
警 I-OPER
在 O
事 O
故 O
中 O
成 O
功 O
救 O
出 O
了 O
多 O
名 O
被 O
困 O
市 O
民 O
。 O

事 O
故 O
发 O
生 O
后 O
， O
王 B-OPER
刚 I-OPER
和 O
李 B-OPER
四 I-OPER
在 O
现 O
场 O
协 O
助 O
伤 O
员 O
撤 O
离 O
， O
小 B-PPER
李 I-PPER
和 O
赵 B-PPER
芳 I-PPER
在 O
事 O
故 O
中 O
受 O
伤 O
。 O

事 O
故 O
发 O
生 O
后 O
， O
张 B-OPER
明 I-OPER
快 O
速 O
赶 O
到 O
事 O
故 O
现 O
场 O
并 O
组 O
织 O
警 O
察 O
进 O
行 O
疏 O
散 O
， O
李 B-OPER
四 I-OPER
在 O
旁 O
为 O
伤 O
员 O
提 O
供 O
急 O
救 O
。 O

张 B-OPER
警 I-OPER
迅 O
速 O
到 O
达 O
现 O
场 O
后 O
协 O
助 O
疏 O
散 O
群 O
众 O
， O
并 O
协 O
助 O
医 O
疗 O
人 O
员 O
救 O
治 O
伤 O
员 O
。 O

张 B-OPER
队 I-OPER
员 O
在 O
现 O
场 O
维 O
持 O
秩 O
序 O
， O
并 O
协 O
助 O
医 O
疗 O
人 O
员 O
施 O
行 O
急 O
救 O
。 O
李 B-LPER
东 I-LPER
未 O
遵 O
守 O
安 O
全 O
规 O
程 O
， O
导 O
致 O
事 O
故 O
发 O
生 O
。 O

王 B-OPER
民 I-OPER
警 I-OPER
在 O
事 O
故 O
中 O
担 O
任 O
指 O
挥 O
和 O
调 O
度 O
工 O
作 O
， O
李 B-LPER
小 I-LPER
芳 I-LPER
未 O
依 O
规 O
定 O
操 O
作 O
， O
导 O
致 O
伤 O
亡 O
。 O

王 B-OPER
警 I-OPER
迅 O
速 O
到 O
达 O
现 O
场 O
后 O
协 O
助 O
疏 O
散 O
群 O
众 O
， O
并 O
协 O
助 O
医 O
疗 O
人 O
员 O
救 O
治 O
伤 O
员 O
。 O

根 O
据 O
报 O
告 O
， O
王 B-OPER
警 I-OPER
到 O
场 O
后 O
组 O
织 O
了 O
紧 O
急 O
救 O
援 O
并 O
对 O
伤 O
员 O
进 O
行 O
急 O
救 O
。 O
李 B-PPER
四 I-PPER
被 O
困 O
在 O
废 O
墟 O
中 O
， O
后 O
被 O
成 O
功 O
营 O
救 O
。 O

事 O
故 O
发 O
生 O
后 O
， O
张 B-OPER
警 I-OPER
接 O
到 O
报 O
警 O
后 O
， O
立 O
即 O
组 O
织 O
警 O
力 O
开 O
展 O
救 O
援 O
工 O
作 O
， O
王 B-PPER
涛 I-PPER
受 O
伤 O
并 O
被 O
送 O
往 O
医 O
院 O
治 O
疗 O
。 O

王 B-LPER
明 I-LPER
在 O
事 O
故 O
中 O
负 O
有 O
主 O
要 O
责 O
任 O
， O
并 O
在 O
现 O
场 O
指 O
挥 O
救 O
援 O
人 O
员 O
营 O
救 O
伤 O
员 O
。 O
李 B-OPER
警 I-OPER
协 O
助 O
调 O
查 O
工 O
作 O
。 O

张 B-OPER
队 I-OPER
员 O
在 O
现 O
场 O
维 O
持 O
秩 O
序 O
， O
并 O
协 O
助 O
医 O
疗 O
人 O
员 O
施 O
行 O
急 O
救 O
。 O
李 B-LPER
东 I-LPER
未 O
遵 O
守 O
安 O
全 O
规 O
程 O
， O
导 O
致 O
事 O
故 O
发 O
生 O
。 O

新 O
华 O
网 O
北 O
京 O
8 B-DATE
月 I-DATE
3 I-DATE
0 I-DATE
日 I-DATE
电 O
（ O
张 B-OPER
伟 I-OPER
、 O
赵 B-OPER
阳 I-OPER
） O
今 O
日 O
， O
江 B-OORG
苏 I-OORG
省 I-OORG
公 I-OORG
安 I-OORG
局 I-OORG
发 O
布 O
关 O
于 O
王 B-LPER
丽 I-LPER
娜 I-LPER
等 O
涉 O
嫌 O
盗 B-TYPE
窃 I-TYPE
数 I-TYPE
据 I-TYPE
案 I-TYPE
、 O
破 B-TYPE
坏 I-TYPE
电 I-TYPE
子 I-TYPE
设 I-TYPE
备 I-TYPE
等 O
案 O
件 O
侦 O
办 O
情 O
况 O
的 O
通 O
报 O
。 O

中 O
国 O
网 O
6 B-DATE
月 I-DATE
2 I-DATE
0 I-DATE
日 I-DATE
电 O
（ O
李 B-OPER
敏 I-OPER
、 O
王 B-OPER
磊 I-OPER
） O
今 O
日 O
， O
安 B-OORG
全 I-OORG
部 I-OORG
发 O
布 O
关 O
于 O
李 B-LPER
某 I-LPER
明 I-LPER
等 O
涉 O
嫌 O
故 O
意 O
破 O
坏 O
事 O
、 O
打 O
砸 O
公 O
共 O
财 O
物 O
等 O
案 O
件 O
侦 O
办 O
进 O
展 O
情 O
况 O
的 O
通 O
报 O
。 O

新 O
华 O
网 O
9 B-DATE
月 I-DATE
2 I-DATE
8 I-DATE
日 I-DATE
电 O
（ O
孙 B-OPER
伟 I-OPER
、 O
陈 B-OPER
琳 I-OPER
） O
今 O
日 O
， O
浙 B-OORG
江 I-OORG
省 I-OORG
公 I-OORG
安 I-OORG
局 I-OORG
发 O
布 O
关 O
于 O
李 B-LPER
杰 I-LPER
、 O
刘 B-LPER
琛 I-LPER
等 O
涉 O
嫌 O
抢 B-TYPE
劫 I-TYPE
案 O
件 O
侦 O
办 O
情 O
况 O
的 O
通 O
报 O
。 O

中 O
新 O
网 O
4 B-DATE
月 I-DATE
9 I-DATE
日 I-DATE
电 O
（ O
李 B-OPER
杰 I-OPER
、 O
赵 B-OPER
俊 I-OPER
） O
今 O
日 O
， O
沪 B-OORG
上 I-OORG
市 I-OORG
公 I-OORG
安 I-OORG
局 I-OORG
发 O
布 O
关 O
于 O
王 B-LPER
浩 I-LPER
等 O
涉 O
嫌 O
故 B-TYPE
意 I-TYPE
伤 I-TYPE
人 I-TYPE
案 I-TYPE
件 O
侦 O
办 O
进 O
展 O
情 O
况 O
的 O
通 O
报 O
。 O

中 O
新 O
网 O
4 B-DATE
月 I-DATE
9 I-DATE
日 I-DATE
电 O
（ O
李 B-OPER
杰 I-OPER
、 O
赵 B-OPER
俊 I-OPER
） O
今 O
日 O
， O
沪 B-OORG
上 I-OORG
市 I-OORG
公 I-OORG
安 I-OORG
局 I-OORG
发 O
布 O
关 O
于 O
王 B-LPER
浩 I-LPER
等 O
涉 O
嫌 O
故 B-TYPE
意 I-TYPE
伤 I-TYPE
人 I-TYPE
案 O
件 O
侦 O
办 O
进 O
展 O
情 O
况 O
的 O
通 O
报 O
。 O

人 O
民 O
网 O
7 B-DATE
月 I-DATE
5 I-DATE
日 I-DATE
电 O
（ O
王 B-OPER
昊 I-OPER
、 O
李 B-OPER
娟 I-OPER
） O
今 O
日 O
， O
陕 B-OORG
西 I-OORG
省 I-OORG
公 I-OORG
安 I-OORG
厅 I-OORG
发 O
布 O
关 O
于 O
赵 B-LPER
强 I-LPER
等 O
涉 O
嫌 O
敲 B-TYPE
诈 I-TYPE
案 O
件 O
侦 O
办 O
情 O
况 O
的 O
通 O
报 O
。 O

中 O
国 O
网 O
10 B-DATE
月 I-DATE
4 I-DATE
日 I-DATE
电 O
（ O
张 B-OPER
强 I-OPER
、 O
李 B-OPER
娟 I-OPER
） O
今 O
日 O
， O
京 B-OORG
津 I-OORG
市 I-OORG
公 I-OORG
安 I-OORG
局 I-OORG
发 O
布 O
关 O
于 O
赵 B-LPER
华 I-LPER
、 O
刘 B-LPER
杰 I-LPER
等 O
涉 O
嫌 O
恶 B-TYPE
性 I-TYPE
故 I-TYPE
意 I-TYPE
杀 I-TYPE
人 I-TYPE
案 O
件 O
侦 O
办 O
进 O
展 O
情 O
况 O
的 O
通 O
报 O
。 O

新 O
华 O
网 O
3 B-DATE
月 I-DATE
7 I-DATE
日 I-DATE
电 O
（ O
刘 B-OPER
涛 I-OPER
、 O
李 B-OPER
瑶 I-OPER
） O
今 O
日 O
， O
吉 B-OORG
林 I-OORG
省 I-OORG
公 I-OORG
安 I-OORG
局 I-OORG
发 O
布 O
关 O
于 O
赵 B-LPER
铭 I-LPER
等 O
涉 O
嫌 O
走 B-TYPE
私 I-TYPE
案 O
件 O
侦 O
办 O
情 O
况 O
的 O
通 O
报 O
。 O

事 O
故 O
发 O
生 O
后 O
， O
赵 B-OPER
云 I-OPER
和 O
刘 B-OPER
琳 I-OPER
协 O
助 O
救 O
援 O
并 O
指 O
挥 O
施 O
救 O
， O
王 B-PPER
林 I-PPER
在 O
爆 B-TYPE
炸 I-TYPE
事 O
件 O
中 O
受 O
伤 O
。 O
郑 B-OPER
国 I-OPER
华 I-OPER
参 O
与 O
了 O
营 O
救 O
工 O
作 O
。 O

爆 B-TYPE
炸 I-TYPE
发 O
生 O
后 O
， O
张 B-OPER
杰 I-OPER
、 O
李 B-OPER
四 I-OPER
在 O
现 O
场 O
指 O
挥 O
营 O
救 O
， O
并 O
协 O
助 O
伤 O
员 O
撤 O
离 O
。 O
李 B-PPER
宁 I-PPER
在 O
事 O
故 O
中 O
受 O
伤 O
并 O
被 O
送 O
往 O
医 O
院 O
救 O
治 O
。 O

爆 B-TYPE
炸 I-TYPE
发 O
生 O
后 O
， O
赵 B-OPER
亮 I-OPER
、 O
郑 B-OPER
凯 I-OPER
在 O
现 O
场 O
指 O
挥 O
营 O
救 O
， O
并 O
协 O
助 O
伤 O
员 O
撤 O
离 O
。 O
李 B-PPER
宁 I-PPER
在 O
事 O
故 O
中 O
受 O
伤 O
并 O
被 O
送 O
往 O
医 O
院 O
救 O
治 O
。 O

中 O
国 O
网 O
6 B-DATE
月 I-DATE
2 I-DATE
5 I-DATE
日 I-DATE
电 O
（ O
张 B-OPER
杰 I-OPER
、 O
李 B-OPER
涛 I-OPER
） O
今 O
日 O
， O
浙 B-OORG
江 I-OORG
省 I-OORG
公 I-OORG
安 I-OORG
厅 I-OORG
发 O
布 O
关 O
于 O
刘 B-LPER
浩 I-LPER
等 O
涉 O
嫌 O
敲 B-TYPE
诈 I-TYPE
案 O
件 O
侦 O
办 O
进 O
展 O
情 O
况 O
的 O
通 O
报 O
。 O

爆 B-TYPE
炸 I-TYPE
事 O
故 O
发 O
生 O
后 O
， O
李 B-OPER
刚 I-OPER
和 O
周 B-OPER
琳 I-OPER
在 O
现 O
场 O
协 O
助 O
调 O
查 O
， O
并 O
指 O
挥 O
施 O
救 O
。 O
沪 B-PORG
上 I-PORG
市 I-PORG
公 I-PORG
安 I-PORG
局 I-PORG
协 O
助 O
搜 O
查 O
。 O
